Age group,Vaccination status,Person-years,Count of deaths involving COVID-19,Count of deaths non-COVID-19 deaths,Count of all cause deaths,ACM death rate,Non-COVID ACM rate,Covid-19 death rate
10-14,Vaccinated,224,0,1,1,11.50345564,10.12304096,1.380414677
10-14,Unvaccinated,2481551,6,127,133,5.359551345,5.117767074,0.241784271
15-19,Vaccinated,20812,0,0,0,15.76231825,15.2952866,0.467031652
15-19,Unvaccinated,1781166,22,206,228,12.80060365,11.56545768,1.235145966
20-24,Vaccinated,55691,0,7,7,20.80964717,19.89827576,0.911371409
20-24,Unvaccinated,1381968,37,246,283,20.47804291,17.80070161,2.677341299
25-29,Vaccinated,63033,0,5,5,26.91887034,25.64711269,1.271757654
25-29,Unvaccinated,1393078,64,397,461,33.09218866,28.49804534,4.594143329
30-34,Vaccinated,68828,1,9,10,40.53796749,38.4905954,2.047372096
30-34,Unvaccinated,1266097,123,536,659,52.04972447,42.33482901,9.714895462
35-39,Vaccinated,84047,1,22,23,61.72843202,58.37557829,3.352853728
35-39,Unvaccinated,1201187,227,756,983,81.8357175,62.93774408,18.89797342
40-44,Vaccinated,99383,1,32,33,95.33465651,90.66086834,4.673788174
40-44,Unvaccinated,1034510,285,1068,1353,130.786556,103.2372814,27.54927454
45-49,Vaccinated,114305,4,61,65,154.3570157,146.1365416,8.220474054
45-49,Unvaccinated,922486,580,1742,2322,251.7111371,188.8375542,62.87358291
50-54,Vaccinated,145372,5,135,140,240.0336327,227.8599314,12.17370133
50-54,Unvaccinated,814468,1035,2676,3711,455.6348438,328.5580281,127.0768158
55-59,Vaccinated,155970,6,270,276,385.1392897,363.5189622,21.62032746
55-59,Unvaccinated,745431,1589,3697,5286,709.1199588,495.9546893,213.1652695
60-64,Vaccinated,144279,16,424,440,631.1977304,593.6644646,37.53326585
60-64,Unvaccinated,570793,2365,4720,7085,1241.255587,826.9197415,414.335845
65-69,Vaccinated,128022,32,630,662,1016.162782,955.6387006,60.5240815
65-69,Unvaccinated,396309,2993,5780,8773,2213.676702,1458.45792,755.2187813
70-74,Vaccinated,130798,43,1103,1146,1661.374795,1565.854012,95.5207833
70-74,Unvaccinated,298845,4113,7528,11641,3895.330355,2519.031605,1376.29875
75-79,Vaccinated,103021,70,1513,1583,2880.646778,2694.981368,185.66541
75-79,Unvaccinated,167311,4934,7921,12855,7683.296376,4734.297207,2948.999169
80-84,Vaccinated,68195,77,1929,2006,5248.458816,4872.247497,376.2113188
80-84,Unvaccinated,81099,5721,8296,14017,17283.81361,10229.47262,7054.340991
85-89,Vaccinated,42323,99,2286,2385,9501.239846,8802.531133,698.7087124
85-89,Unvaccinated,52495,6289,9085,15374,29286.59872,17306.41013,11980.18859
90+,Vaccinated,23944,115,3136,3251,20507.43769,19081.67056,1425.767125
90+,Unvaccinated,36543,7033,11037,18070,49448.59481,30202.77481,19245.81999
